No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	2	100nF	C34,C43	C0603	100nF	FCC0603B104K500CT	FOJAN(富捷)	C5137636	LCSC
2	1	1uF	C46	C0603	1uF	CGA0603X5R105K500JT	HRE(芯声)	C6119852	LCSC
3	1	4.7uF	C47	C0603	4.7uF	TCC0603X5R475K160CT	CCTC(三环)	C380325	LCSC
4	1	10uF	C48	C0603	10uF	TCC0603X5R106K100CT	CCTC(三环)	C380314	LCSC
5	1	XY-B2B-PH-K-S	CN1	CONN-TH_B2B-PH-K-S		XY-B2B-PH-K-S	XYECONN(辛译)	C51940125	LCSC
6	2	1N5819W	D1,D2	SOD-123_L2.7-W1.6-LS3.7-RD		1N5819W	GOODWORK(固得沃克)	C41431973	LCSC
7	2	2.54-1*10	H1,H2	HDR-TH_10P-P2.54-V-M		2.54-1*10	ZHOURI(洲日)	C5156617	LCSC
8	1	2.54-1*5	H3	HDR-TH_5P-P2.54-V-M		2.54-1*5	ZHOURI(洲日)	C5156614	LCSC
9	1	WS2812B-B/T	LED1	LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B		WS2812B-B/T	worldsemi	C2761795	LCSC
10	1	YLED0805G	LED2	LED0805-FD-GREEN		YLED0805G	YONGYUTAI(永裕泰)	C25170728	LCSC
11	1	YLED0805B	LED3	LED0805-RD		YLED0805B	YONGYUTAI(永裕泰)	C19273154	LCSC
12	2	10kΩ	R13,R14	R0603	10kΩ	FRC0603J103 TS	FOJAN(富捷)	C2930027	LCSC
13	2	5.1kΩ	R15,R16	R0603	5.1kΩ	FRC0603F5101TS	FOJAN(富捷)	C2907044	LCSC
14	1	330Ω	R18	R0603	330Ω	FRC0603J331 TS	FOJAN(富捷)	C2907152	LCSC
15	1	2.4kΩ	R20	R0603	2.4kΩ	FRC0603F2401TS	FOJAN(富捷)	C2907007	LCSC
16	1	1kΩ	R21	R0603	1kΩ	FRC0603J102 TS	FOJAN(富捷)	C2907113	LCSC
17	2	TS-1089S-02526	SW3,SW4	SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1		TS-1089S-02526	XUNPU(讯普)	C455282	LCSC
18	1	2.4GHz	U1	WIFIM-SMD_61P-CUSTOMBRUH	2.4GHz	Ai-WB2-M1-I	Ai-Thinker(安信可)	C5187547	LCSC
19	1	AMS1117-3.3	U3	SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR-1		AMS1117-3.3	晶扬电子	C22459274	LCSC
20	1	TP4059	U4	SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR		TP4059	TOPPOWER(南京拓微)	C80364	LCSC
21	1	TYPE-C16PIN	USB1	USB-C-SMD_TYPE-C16PIN		TYPE-C16PIN	SHOU HAN(首韩)	C393939	LCSC
